k,inertia,silhouette,calinski_harabasz,davies_bouldin,n_clusters
2,2191.654528979421,0.4308858881624222,717.5412609842514,0.7702994830652545,2
3,1586.4483732358087,0.3386946334873052,680.1459763069738,1.1574988254307335,3
4,1313.647327359586,0.3183919783284389,614.105054975972,1.2298389369130018,4
5,1112.2736586894985,0.317472847511429,587.2171174187299,1.196326096171338,5
6,1022.5009989870185,0.3077483821506032,527.4705335627916,1.2268116116743237,6
